L,accuracy,accuracy_se,k_star,mean_tas,tas_se
3,0.983134223471539,0.0024141733011088426,2.9,0.5772310399174911,0.0061178715612332235
4,0.9813012295081968,0.0021682453387031043,3.7583333333333333,0.4965298941687311,0.005326724423387413
5,0.979850952249517,0.0023347105702965867,4.495798319327731,0.4418749003299707,0.005172929901819888
6,0.9736229635376261,0.0031568299977025706,5.325,0.38475572431506205,0.004939644834039867
7,0.9646706586826347,0.004518862601227777,6.566666666666666,0.35005710658369465,0.004924696861172189
8,0.9696157283288651,0.005133379114434513,7.411764705882353,0.3193610878447848,0.0042920985441185795
9,0.954248366013072,0.008453049496170314,7.925,0.2914888263861139,0.0038518924054695776
10,0.9748603351955307,0.008285463977816673,9.058333333333334,0.2652531182813314,0.0044031667253971365
11,0.9295154185022027,0.01702633375136097,10.081818181818182,0.24700535791902492,0.004217770532778843
12,0.900990099009901,0.02986753094851158,11.340425531914894,0.23079135943531126,0.004920836810565077
