difficulty,L,accuracy,accuracy_se,k_star,mean_tas,tas_se,l_star,bin_status,n_traces,n_clean
easy,1,1.0,0.0,,,,True,insufficient,9,0
easy,2,0.9891500904159132,0.003116470483899543,,,,False,insufficient,1106,0
easy,3,0.983134223471539,0.0024141733011088426,2.9,0.5772310399174911,0.0061178715612332235,False,ok,2846,120
easy,4,0.9813012295081968,0.0021682453387031043,3.7583333333333333,0.4965298941687311,0.005326724423387413,False,ok,3904,120
easy,5,0.979850952249517,0.0023347105702965867,4.495798319327731,0.4418749003299707,0.005172929901819888,False,ok,3623,120
easy,6,0.9736229635376261,0.0031568299977025706,5.325,0.38475572431506205,0.004939644834039867,False,ok,2578,120
easy,7,0.9646706586826347,0.004518862601227777,6.566666666666666,0.35005710658369465,0.004924696861172189,False,ok,1670,120
easy,8,0.9696157283288651,0.005133379114434513,7.411764705882353,0.3193610878447848,0.0042920985441185795,False,ok,1119,120
easy,9,0.954248366013072,0.008453049496170314,7.925,0.2914888263861139,0.0038518924054695776,False,ok,612,120
easy,10,0.9748603351955307,0.008285463977816673,9.058333333333334,0.2652531182813314,0.0044031667253971365,False,ok,358,120
easy,11,0.9295154185022027,0.01702633375136097,10.081818181818182,0.24700535791902492,0.004217770532778843,False,ok,227,110
easy,12,0.900990099009901,0.02986753094851158,11.340425531914894,0.23079135943531126,0.004920836810565077,False,ok,101,47
easy,13,0.9649122807017544,0.02458824169216614,,,,False,insufficient,57,0
easy,14,0.9444444444444444,0.03871844735762053,,,,False,insufficient,36,0
easy,15,0.8333333333333334,0.11236664374387366,,,,False,insufficient,12,0
easy,16,0.42857142857142855,0.20203050891044214,,,,False,insufficient,7,0
easy,17,1.0,0.0,,,,False,insufficient,7,0
easy,18,0.8181818181818182,0.12196734422726126,,,,False,insufficient,11,0
easy,19,0.8333333333333334,0.16666666666666669,,,,False,insufficient,6,0
easy,20,1.0,0.0,,,,False,insufficient,2,0
easy,22,1.0,0.0,,,,False,insufficient,3,0
easy,24,1.0,0.0,,,,False,insufficient,1,0
easy,25,0.5,0.5,,,,False,insufficient,2,0
easy,36,0.0,0.0,,,,False,insufficient,1,0
easy,37,1.0,0.0,,,,False,insufficient,1,0
easy,43,0.0,0.0,,,,False,insufficient,1,0
medium,2,0.5862068965517241,0.06523484847771845,,,,False,insufficient,58,0
medium,3,0.6705426356589147,0.029318803770998172,2.865546218487395,0.5915329933127578,0.005023598771983384,False,ok,258,120
medium,4,0.7008196721311475,0.020749382578337566,3.722689075630252,0.5107995218899658,0.005663502141098898,False,ok,488,120
medium,5,0.6724137931034483,0.019504814690480588,4.533333333333333,0.44657887953573216,0.005694028570609906,False,ok,580,120
medium,6,0.6785046728971963,0.020211247737821635,5.558333333333334,0.3986279848451668,0.00538483251503613,False,ok,535,120
medium,7,0.6859504132231405,0.021118929908021403,6.325,0.3576366979896243,0.005340159057137126,False,ok,484,120
medium,8,0.6411042944785276,0.026607666800247138,7.441666666666666,0.31982520634092737,0.004350292819128118,False,ok,326,120
medium,9,0.6882591093117408,0.029532847067962012,8.403361344537815,0.30907414191341115,0.003964810386930254,False,ok,247,120
medium,10,0.7218543046357616,0.03658603262763744,8.970588235294118,0.28415796513003505,0.005450037241528937,False,ok,151,68
medium,11,0.6422764227642277,0.04339651526440302,10.45945945945946,0.2657848224787527,0.006585859939852776,False,ok,123,37
medium,12,0.6041666666666666,0.07133220238382323,,,,False,insufficient,48,0
medium,13,0.6875,0.08324928557283298,,,,False,insufficient,32,0
medium,14,0.6190476190476191,0.10858813572372741,,,,False,insufficient,21,0
medium,15,0.7857142857142857,0.1138039295450988,,,,False,insufficient,14,0
medium,16,0.5714285714285714,0.13725270326150327,,,,False,insufficient,14,0
medium,17,0.7142857142857143,0.18442777839082938,,,,False,insufficient,7,0
medium,18,1.0,0.0,,,,True,insufficient,5,0
medium,19,0.5,0.28867513459481287,,,,False,insufficient,4,0
medium,20,0.3333333333333333,0.33333333333333337,,,,False,insufficient,3,0
medium,21,1.0,0.0,,,,False,insufficient,2,0
medium,22,0.0,0.0,,,,False,insufficient,1,0
medium,24,0.6666666666666666,0.33333333333333337,,,,False,insufficient,3,0
medium,26,0.0,0.0,,,,False,insufficient,1,0
medium,27,1.0,0.0,,,,False,insufficient,1,0
medium,28,1.0,0.0,,,,False,insufficient,1,0
medium,46,0.0,0.0,,,,False,insufficient,2,0
medium,47,0.0,0.0,,,,False,insufficient,1,0
medium,50,0.0,0.0,,,,False,insufficient,1,0
medium,52,0.0,0.0,,,,False,insufficient,2,0
medium,54,0.0,0.0,,,,False,insufficient,1,0
medium,56,0.0,0.0,,,,False,insufficient,1,0
medium,57,0.0,0.0,,,,False,insufficient,1,0
medium,59,0.0,0.0,,,,False,insufficient,1,0
medium,65,0.0,0.0,,,,False,insufficient,1,0
medium,66,0.0,0.0,,,,False,insufficient,1,0
medium,71,0.0,0.0,,,,False,insufficient,1,0
hard,1,0.0,0.0,,,,False,insufficient,1,0
hard,2,0.1891891891891892,0.06527647182968215,,,,False,insufficient,37,0
hard,3,0.2023121387283237,0.030631145539198806,2.914285714285714,0.5813391576781543,0.008582872445398933,False,ok,173,35
hard,4,0.25170068027210885,0.025353975112441002,3.808219178082192,0.5108688465649445,0.0060430966294488615,False,ok,294,73
hard,5,0.26109660574412535,0.022473088514130282,4.530612244897959,0.453711043587124,0.006572705908601933,False,ok,383,98
hard,6,0.23607427055702918,0.021900598052287605,5.384615384615385,0.4061588016560555,0.005991073072857939,False,ok,377,79
hard,7,0.2247557003257329,0.02386238976746577,6.491525423728813,0.35684922791672363,0.0051308743293291305,False,ok,307,59
hard,8,0.27488151658767773,0.030808291124780323,7.163265306122449,0.3184559291506689,0.0057762751867521545,False,ok,211,50
hard,9,0.28735632183908044,0.03440515707228721,8.333333333333334,0.2983395350770072,0.006267871271333016,False,ok,174,36
hard,10,0.2803030303030303,0.03924217639788229,,,,False,insufficient,132,0
hard,11,0.22784810126582278,0.0474926909377106,,,,False,insufficient,79,0
hard,12,0.171875,0.04753177456453702,,,,False,insufficient,64,0
hard,13,0.26666666666666666,0.06666666666666667,,,,False,insufficient,45,0
hard,14,0.11538461538461539,0.06389710663783135,,,,False,insufficient,26,0
hard,15,0.3333333333333333,0.09245003270420486,,,,False,insufficient,27,0
hard,16,0.1111111111111111,0.07622159339667059,,,,False,insufficient,18,0
hard,17,0.125,0.125,,,,False,insufficient,8,0
hard,18,0.375,0.18298126367784998,,,,False,insufficient,8,0
hard,19,0.0,0.0,,,,False,insufficient,4,0
hard,20,0.4,0.24494897427831783,,,,False,insufficient,5,0
hard,21,0.375,0.18298126367784998,,,,False,insufficient,8,0
hard,22,0.16666666666666666,0.16666666666666669,,,,False,insufficient,6,0
hard,23,0.25,0.16366341767699427,,,,False,insufficient,8,0
hard,24,0.0,0.0,,,,False,insufficient,2,0
hard,25,0.0,0.0,,,,False,insufficient,1,0
hard,26,0.0,0.0,,,,False,insufficient,2,0
hard,27,0.0,0.0,,,,False,insufficient,4,0
hard,28,0.0,0.0,,,,False,insufficient,1,0
hard,29,0.0,0.0,,,,False,insufficient,2,0
hard,31,0.0,0.0,,,,False,insufficient,1,0
hard,32,0.0,0.0,,,,False,insufficient,2,0
hard,33,0.0,0.0,,,,False,insufficient,3,0
hard,35,0.3333333333333333,0.33333333333333337,,,,False,insufficient,3,0
hard,36,0.5,0.5,,,,False,insufficient,2,0
hard,37,0.0,0.0,,,,False,insufficient,2,0
hard,38,0.5,0.5,,,,False,insufficient,2,0
hard,39,0.0,0.0,,,,False,insufficient,2,0
hard,41,0.0,0.0,,,,False,insufficient,4,0
hard,42,0.0,0.0,,,,False,insufficient,2,0
hard,43,1.0,0.0,,,,True,insufficient,2,0
hard,44,0.0,0.0,,,,False,insufficient,2,0
hard,45,1.0,0.0,,,,False,insufficient,1,0
hard,46,0.0,0.0,,,,False,insufficient,2,0
hard,47,0.0,0.0,,,,False,insufficient,2,0
hard,49,0.0,0.0,,,,False,insufficient,1,0
hard,50,0.0,0.0,,,,False,insufficient,1,0
hard,51,0.0,0.0,,,,False,insufficient,1,0
hard,52,0.0,0.0,,,,False,insufficient,1,0
hard,53,0.0,0.0,,,,False,insufficient,1,0
hard,54,0.0,0.0,,,,False,insufficient,1,0
hard,55,0.0,0.0,,,,False,insufficient,2,0
hard,56,0.0,0.0,,,,False,insufficient,1,0
hard,57,0.0,0.0,,,,False,insufficient,1,0
hard,59,0.0,0.0,,,,False,insufficient,1,0
hard,62,0.0,0.0,,,,False,insufficient,1,0
hard,63,0.0,0.0,,,,False,insufficient,1,0
hard,66,0.0,0.0,,,,False,insufficient,1,0
hard,67,0.0,0.0,,,,False,insufficient,2,0
hard,68,0.0,0.0,,,,False,insufficient,1,0
hard,71,0.0,0.0,,,,False,insufficient,1,0
hard,73,0.0,0.0,,,,False,insufficient,1,0
hard,75,0.0,0.0,,,,False,insufficient,1,0
hard,107,0.0,0.0,,,,False,insufficient,1,0
