difficulty,length,n,mean_accuracy,se_accuracy
easy,3,1944,0.974280,0.003590
easy,4,1631,0.985285,0.002981
easy,5,1146,0.977312,0.004399
easy,6,885,0.976271,0.005116
easy,7,767,0.976532,0.005466
easy,8,726,0.971074,0.006220
easy,9,590,0.984746,0.005046
easy,10,441,0.965986,0.008632
easy,11,379,0.963061,0.009688
easy,12,547,0.930530,0.010871
easy,13,124,0.935484,0.022062
easy,14,93,0.946237,0.023388
easy,15,85,0.952941,0.022969
easy,16,57,0.982456,0.017389
easy,17,35,1.000000,0.000000
easy,18,33,0.969697,0.029840
easy,19,11,0.727273,0.134282
easy,20,10,0.900000,0.094868
easy,21,7,0.857143,0.132260
easy,22,7,0.857143,0.132260
easy,23,5,1.000000,0.000000
easy,24,4,0.750000,0.216506
easy,25,2,0.500000,0.353553
easy,26,3,1.000000,0.000000
easy,27,1,0.000000,0.000000
easy,28,2,0.500000,0.353553
easy,43,1,0.000000,0.000000
medium,3,323,0.637771,0.026744
medium,4,294,0.724490,0.026056
medium,5,289,0.709343,0.026710
medium,6,237,0.683544,0.030211
medium,7,183,0.754098,0.031832
medium,8,159,0.742138,0.034693
medium,9,148,0.689189,0.038044
medium,10,122,0.729508,0.040217
medium,11,103,0.815534,0.038217
medium,12,187,0.609626,0.035674
medium,13,54,0.611111,0.066340
medium,14,61,0.868852,0.043220
medium,15,42,0.619048,0.074933
medium,16,26,0.692308,0.090515
medium,17,15,0.666667,0.121716
medium,18,20,0.700000,0.102470
medium,19,12,0.750000,0.125000
medium,20,11,0.545455,0.150131
medium,21,9,0.888889,0.104757
medium,22,9,0.555556,0.165635
medium,23,4,0.250000,0.216506
medium,24,4,0.500000,0.250000
medium,25,5,0.200000,0.178885
medium,26,2,0.500000,0.353553
medium,27,1,0.000000,0.000000
medium,28,4,0.750000,0.216506
medium,29,1,0.000000,0.000000
medium,31,1,0.000000,0.000000
medium,32,1,0.000000,0.000000
medium,66,1,0.000000,0.000000
hard,3,277,0.191336,0.023634
hard,4,248,0.165323,0.023588
hard,5,236,0.199153,0.025996
hard,6,227,0.167401,0.024779
hard,7,154,0.266234,0.035616
hard,8,140,0.228571,0.035489
hard,9,130,0.276923,0.039246
hard,10,95,0.200000,0.041039
hard,11,87,0.333333,0.050540
hard,12,174,0.339080,0.035888
hard,13,58,0.293103,0.059769
hard,14,53,0.339623,0.065051
hard,15,31,0.322581,0.083959
hard,16,29,0.379310,0.090102
hard,17,23,0.173913,0.079034
hard,18,20,0.250000,0.096825
hard,19,12,0.250000,0.125000
hard,20,13,0.307692,0.128008
hard,21,3,0.333333,0.272166
hard,22,8,0.375000,0.171163
hard,23,2,0.000000,0.000000
hard,24,5,0.000000,0.000000
hard,25,10,0.200000,0.126491
hard,26,1,1.000000,0.000000
hard,27,2,0.000000,0.000000
hard,28,2,0.000000,0.000000
hard,29,1,0.000000,0.000000
hard,30,3,0.000000,0.000000
hard,31,1,0.000000,0.000000
hard,32,1,0.000000,0.000000
hard,33,1,0.000000,0.000000
hard,34,1,1.000000,0.000000
hard,37,1,0.000000,0.000000
hard,63,1,0.000000,0.000000
