difficulty,length,n,mean_accuracy,se_accuracy
easy,3,2846,0.983134,0.002414
easy,4,3904,0.981301,0.002168
easy,5,3623,0.979851,0.002334
easy,6,2578,0.973623,0.003156
easy,7,1670,0.964671,0.004518
easy,8,1119,0.969616,0.005131
easy,9,612,0.954248,0.008446
easy,10,358,0.974860,0.008274
easy,11,227,0.929515,0.016989
easy,12,101,0.900990,0.029719
easy,13,57,0.964912,0.024372
easy,14,36,0.944444,0.038177
easy,15,12,0.833333,0.107583
easy,16,7,0.428571,0.187044
easy,17,7,1.000000,0.000000
easy,18,11,0.818182,0.116291
easy,19,6,0.833333,0.152145
easy,20,2,1.000000,0.000000
easy,22,3,1.000000,0.000000
easy,24,1,1.000000,0.000000
easy,25,2,0.500000,0.353553
easy,36,1,0.000000,0.000000
easy,37,1,1.000000,0.000000
easy,43,1,0.000000,0.000000
medium,3,258,0.670543,0.029262
medium,4,488,0.700820,0.020728
medium,5,580,0.672414,0.019488
medium,6,535,0.678505,0.020192
medium,7,484,0.685950,0.021097
medium,8,326,0.641104,0.026567
medium,9,247,0.688259,0.029473
medium,10,151,0.721854,0.036465
medium,11,123,0.642276,0.043220
medium,12,48,0.604167,0.070585
medium,13,32,0.687500,0.081938
medium,14,21,0.619048,0.105971
medium,15,14,0.785714,0.109664
medium,16,14,0.571429,0.132260
medium,17,7,0.714286,0.170747
medium,18,5,1.000000,0.000000
medium,19,4,0.500000,0.250000
medium,20,3,0.333333,0.272166
medium,21,2,1.000000,0.000000
medium,22,1,0.000000,0.000000
medium,24,3,0.666667,0.272166
medium,26,1,0.000000,0.000000
medium,27,1,1.000000,0.000000
medium,28,1,1.000000,0.000000
medium,46,2,0.000000,0.000000
medium,47,1,0.000000,0.000000
medium,50,1,0.000000,0.000000
medium,52,2,0.000000,0.000000
medium,54,1,0.000000,0.000000
medium,56,1,0.000000,0.000000
medium,57,1,0.000000,0.000000
medium,59,1,0.000000,0.000000
medium,65,1,0.000000,0.000000
medium,66,1,0.000000,0.000000
medium,71,1,0.000000,0.000000
hard,3,173,0.202312,0.030542
hard,4,294,0.251701,0.025311
hard,5,383,0.261097,0.022444
hard,6,377,0.236074,0.021872
hard,7,307,0.224756,0.023823
hard,8,211,0.274882,0.030735
hard,9,174,0.287356,0.034306
hard,10,132,0.280303,0.039093
hard,11,79,0.227848,0.047191
hard,12,64,0.171875,0.047159
hard,13,45,0.266667,0.065922
hard,14,26,0.115385,0.062656
hard,15,27,0.333333,0.090722
hard,16,18,0.111111,0.074074
hard,17,8,0.125000,0.116927
hard,18,8,0.375000,0.171163
hard,19,4,0.000000,0.000000
hard,20,5,0.400000,0.219089
hard,21,8,0.375000,0.171163
hard,22,6,0.166667,0.152145
hard,23,8,0.250000,0.153093
hard,24,2,0.000000,0.000000
hard,25,1,0.000000,0.000000
hard,26,2,0.000000,0.000000
hard,27,4,0.000000,0.000000
hard,28,1,0.000000,0.000000
hard,29,2,0.000000,0.000000
hard,31,1,0.000000,0.000000
hard,32,2,0.000000,0.000000
hard,33,3,0.000000,0.000000
hard,35,3,0.333333,0.272166
hard,36,2,0.500000,0.353553
hard,37,2,0.000000,0.000000
hard,38,2,0.500000,0.353553
hard,39,2,0.000000,0.000000
hard,41,4,0.000000,0.000000
hard,42,2,0.000000,0.000000
hard,43,2,1.000000,0.000000
hard,44,2,0.000000,0.000000
hard,45,1,1.000000,0.000000
hard,46,2,0.000000,0.000000
hard,47,2,0.000000,0.000000
hard,49,1,0.000000,0.000000
hard,50,1,0.000000,0.000000
hard,51,1,0.000000,0.000000
hard,52,1,0.000000,0.000000
hard,53,1,0.000000,0.000000
hard,54,1,0.000000,0.000000
hard,55,2,0.000000,0.000000
hard,56,1,0.000000,0.000000
hard,57,1,0.000000,0.000000
hard,59,1,0.000000,0.000000
hard,62,1,0.000000,0.000000
hard,63,1,0.000000,0.000000
hard,66,1,0.000000,0.000000
hard,67,2,0.000000,0.000000
hard,68,1,0.000000,0.000000
hard,71,1,0.000000,0.000000
hard,73,1,0.000000,0.000000
hard,75,1,0.000000,0.000000
hard,107,1,0.000000,0.000000
