difficulty,length,n,mean_accuracy,se_accuracy
easy,1,9,1.0,0.0
easy,2,1106,0.9891500904159132,0.003116470483899543
easy,3,2846,0.983134223471539,0.0024141733011088426
easy,4,3904,0.9813012295081968,0.0021682453387031043
easy,5,3623,0.979850952249517,0.0023347105702965867
easy,6,2578,0.9736229635376261,0.0031568299977025706
easy,7,1670,0.9646706586826347,0.004518862601227777
easy,8,1119,0.9696157283288651,0.005133379114434513
easy,9,612,0.954248366013072,0.008453049496170314
easy,10,358,0.9748603351955307,0.008285463977816673
easy,11,227,0.9295154185022027,0.01702633375136097
easy,12,101,0.900990099009901,0.02986753094851158
easy,13,57,0.9649122807017544,0.02458824169216614
easy,14,36,0.9444444444444444,0.03871844735762053
easy,15,12,0.8333333333333334,0.11236664374387366
easy,16,7,0.42857142857142855,0.20203050891044214
easy,17,7,1.0,0.0
easy,18,11,0.8181818181818182,0.12196734422726126
easy,19,6,0.8333333333333334,0.16666666666666669
easy,20,2,1.0,0.0
easy,22,3,1.0,0.0
easy,24,1,1.0,0.0
easy,25,2,0.5,0.5
easy,36,1,0.0,0.0
easy,37,1,1.0,0.0
easy,43,1,0.0,0.0
medium,2,58,0.5862068965517241,0.06523484847771845
medium,3,258,0.6705426356589147,0.029318803770998172
medium,4,488,0.7008196721311475,0.020749382578337566
medium,5,580,0.6724137931034483,0.019504814690480588
medium,6,535,0.6785046728971963,0.020211247737821635
medium,7,484,0.6859504132231405,0.021118929908021403
medium,8,326,0.6411042944785276,0.026607666800247138
medium,9,247,0.6882591093117408,0.029532847067962012
medium,10,151,0.7218543046357616,0.03658603262763744
medium,11,123,0.6422764227642277,0.04339651526440302
medium,12,48,0.6041666666666666,0.07133220238382323
medium,13,32,0.6875,0.08324928557283298
medium,14,21,0.6190476190476191,0.10858813572372741
medium,15,14,0.7857142857142857,0.1138039295450988
medium,16,14,0.5714285714285714,0.13725270326150327
medium,17,7,0.7142857142857143,0.18442777839082938
medium,18,5,1.0,0.0
medium,19,4,0.5,0.28867513459481287
medium,20,3,0.3333333333333333,0.33333333333333337
medium,21,2,1.0,0.0
medium,22,1,0.0,0.0
medium,24,3,0.6666666666666666,0.33333333333333337
medium,26,1,0.0,0.0
medium,27,1,1.0,0.0
medium,28,1,1.0,0.0
medium,46,2,0.0,0.0
medium,47,1,0.0,0.0
medium,50,1,0.0,0.0
medium,52,2,0.0,0.0
medium,54,1,0.0,0.0
medium,56,1,0.0,0.0
medium,57,1,0.0,0.0
medium,59,1,0.0,0.0
medium,65,1,0.0,0.0
medium,66,1,0.0,0.0
medium,71,1,0.0,0.0
hard,1,1,0.0,0.0
hard,2,37,0.1891891891891892,0.06527647182968215
hard,3,173,0.2023121387283237,0.030631145539198806
hard,4,294,0.25170068027210885,0.025353975112441002
hard,5,383,0.26109660574412535,0.022473088514130282
hard,6,377,0.23607427055702918,0.021900598052287605
hard,7,307,0.2247557003257329,0.02386238976746577
hard,8,211,0.27488151658767773,0.030808291124780323
hard,9,174,0.28735632183908044,0.03440515707228721
hard,10,132,0.2803030303030303,0.03924217639788229
hard,11,79,0.22784810126582278,0.0474926909377106
hard,12,64,0.171875,0.04753177456453702
hard,13,45,0.26666666666666666,0.06666666666666667
hard,14,26,0.11538461538461539,0.06389710663783135
hard,15,27,0.3333333333333333,0.09245003270420486
hard,16,18,0.1111111111111111,0.07622159339667059
hard,17,8,0.125,0.125
hard,18,8,0.375,0.18298126367784998
hard,19,4,0.0,0.0
hard,20,5,0.4,0.24494897427831783
hard,21,8,0.375,0.18298126367784998
hard,22,6,0.16666666666666666,0.16666666666666669
hard,23,8,0.25,0.16366341767699427
hard,24,2,0.0,0.0
hard,25,1,0.0,0.0
hard,26,2,0.0,0.0
hard,27,4,0.0,0.0
hard,28,1,0.0,0.0
hard,29,2,0.0,0.0
hard,31,1,0.0,0.0
hard,32,2,0.0,0.0
hard,33,3,0.0,0.0
hard,35,3,0.3333333333333333,0.33333333333333337
hard,36,2,0.5,0.5
hard,37,2,0.0,0.0
hard,38,2,0.5,0.5
hard,39,2,0.0,0.0
hard,41,4,0.0,0.0
hard,42,2,0.0,0.0
hard,43,2,1.0,0.0
hard,44,2,0.0,0.0
hard,45,1,1.0,0.0
hard,46,2,0.0,0.0
hard,47,2,0.0,0.0
hard,49,1,0.0,0.0
hard,50,1,0.0,0.0
hard,51,1,0.0,0.0
hard,52,1,0.0,0.0
hard,53,1,0.0,0.0
hard,54,1,0.0,0.0
hard,55,2,0.0,0.0
hard,56,1,0.0,0.0
hard,57,1,0.0,0.0
hard,59,1,0.0,0.0
hard,62,1,0.0,0.0
hard,63,1,0.0,0.0
hard,66,1,0.0,0.0
hard,67,2,0.0,0.0
hard,68,1,0.0,0.0
hard,71,1,0.0,0.0
hard,73,1,0.0,0.0
hard,75,1,0.0,0.0
hard,107,1,0.0,0.0
