difficulty,length,trace_total,eligible_clean_traces,selected_samples,tier1_samples,tier2_samples,status
easy,1,9,0,0,0,0,insufficient
easy,2,1106,0,0,0,0,insufficient
easy,3,2846,2798,120,120,0,ok
easy,4,3904,3831,120,120,0,ok
easy,5,3623,3550,120,120,0,ok
easy,6,2578,2510,120,120,0,ok
easy,7,1670,1611,120,119,1,ok
easy,8,1119,1085,120,118,2,ok
easy,9,612,584,120,119,1,ok
easy,10,358,349,120,119,1,ok
easy,11,227,211,110,109,1,ok
easy,12,101,91,47,47,0,ok
easy,13,57,55,0,0,0,insufficient
easy,14,36,34,0,0,0,insufficient
easy,15,12,10,0,0,0,insufficient
easy,16,7,3,0,0,0,insufficient
easy,17,7,7,0,0,0,insufficient
easy,18,11,9,0,0,0,insufficient
easy,19,6,5,0,0,0,insufficient
easy,20,2,2,0,0,0,insufficient
easy,22,3,3,0,0,0,insufficient
easy,24,1,1,0,0,0,insufficient
easy,25,2,1,0,0,0,insufficient
easy,36,1,0,0,0,0,insufficient
easy,37,1,1,0,0,0,insufficient
easy,43,1,0,0,0,0,insufficient
medium,2,58,0,0,0,0,insufficient
medium,3,258,173,120,120,0,ok
medium,4,488,342,120,120,0,ok
medium,5,580,390,120,120,0,ok
medium,6,535,363,120,120,0,ok
medium,7,484,332,120,120,0,ok
medium,8,326,209,120,118,2,ok
medium,9,247,170,120,120,0,ok
medium,10,151,109,68,68,0,ok
medium,11,123,79,37,36,1,ok
medium,12,48,29,0,0,0,insufficient
medium,13,32,22,0,0,0,insufficient
medium,14,21,13,0,0,0,insufficient
medium,15,14,11,0,0,0,insufficient
medium,16,14,8,0,0,0,insufficient
medium,17,7,5,0,0,0,insufficient
medium,18,5,5,0,0,0,insufficient
medium,19,4,2,0,0,0,insufficient
medium,20,3,1,0,0,0,insufficient
medium,21,2,2,0,0,0,insufficient
medium,22,1,0,0,0,0,insufficient
medium,24,3,2,0,0,0,insufficient
medium,26,1,0,0,0,0,insufficient
medium,27,1,1,0,0,0,insufficient
medium,28,1,1,0,0,0,insufficient
medium,46,2,0,0,0,0,insufficient
medium,47,1,0,0,0,0,insufficient
medium,50,1,0,0,0,0,insufficient
medium,52,2,0,0,0,0,insufficient
medium,54,1,0,0,0,0,insufficient
medium,56,1,0,0,0,0,insufficient
medium,57,1,0,0,0,0,insufficient
medium,59,1,0,0,0,0,insufficient
medium,65,1,0,0,0,0,insufficient
medium,66,1,0,0,0,0,insufficient
medium,71,1,0,0,0,0,insufficient
hard,1,1,0,0,0,0,insufficient
hard,2,37,0,0,0,0,insufficient
hard,3,173,35,35,35,0,ok
hard,4,294,74,73,73,0,ok
hard,5,383,100,98,98,0,ok
hard,6,377,89,79,78,1,ok
hard,7,307,69,59,58,1,ok
hard,8,211,58,50,50,0,ok
hard,9,174,50,36,36,0,ok
hard,10,132,37,0,0,0,insufficient
hard,11,79,18,0,0,0,insufficient
hard,12,64,11,0,0,0,insufficient
hard,13,45,12,0,0,0,insufficient
hard,14,26,3,0,0,0,insufficient
hard,15,27,9,0,0,0,insufficient
hard,16,18,2,0,0,0,insufficient
hard,17,8,1,0,0,0,insufficient
hard,18,8,3,0,0,0,insufficient
hard,19,4,0,0,0,0,insufficient
hard,20,5,2,0,0,0,insufficient
hard,21,8,3,0,0,0,insufficient
hard,22,6,1,0,0,0,insufficient
hard,23,8,2,0,0,0,insufficient
hard,24,2,0,0,0,0,insufficient
hard,25,1,0,0,0,0,insufficient
hard,26,2,0,0,0,0,insufficient
hard,27,4,0,0,0,0,insufficient
hard,28,1,0,0,0,0,insufficient
hard,29,2,0,0,0,0,insufficient
hard,31,1,0,0,0,0,insufficient
hard,32,2,0,0,0,0,insufficient
hard,33,3,0,0,0,0,insufficient
hard,35,3,1,0,0,0,insufficient
hard,36,2,1,0,0,0,insufficient
hard,37,2,0,0,0,0,insufficient
hard,38,2,1,0,0,0,insufficient
hard,39,2,0,0,0,0,insufficient
hard,41,4,0,0,0,0,insufficient
hard,42,2,0,0,0,0,insufficient
hard,43,2,2,0,0,0,insufficient
hard,44,2,0,0,0,0,insufficient
hard,45,1,1,0,0,0,insufficient
hard,46,2,0,0,0,0,insufficient
hard,47,2,0,0,0,0,insufficient
hard,49,1,0,0,0,0,insufficient
hard,50,1,0,0,0,0,insufficient
hard,51,1,0,0,0,0,insufficient
hard,52,1,0,0,0,0,insufficient
hard,53,1,0,0,0,0,insufficient
hard,54,1,0,0,0,0,insufficient
hard,55,2,0,0,0,0,insufficient
hard,56,1,0,0,0,0,insufficient
hard,57,1,0,0,0,0,insufficient
hard,59,1,0,0,0,0,insufficient
hard,62,1,0,0,0,0,insufficient
hard,63,1,0,0,0,0,insufficient
hard,66,1,0,0,0,0,insufficient
hard,67,2,0,0,0,0,insufficient
hard,68,1,0,0,0,0,insufficient
hard,71,1,0,0,0,0,insufficient
hard,73,1,0,0,0,0,insufficient
hard,75,1,0,0,0,0,insufficient
hard,107,1,0,0,0,0,insufficient
