difficulty,length,k_star,n
easy,3,2.9,120
easy,4,3.7583333333333333,120
easy,5,4.495798319327731,119
easy,6,5.325,120
easy,7,6.566666666666666,120
easy,8,7.411764705882353,119
easy,9,7.925,120
easy,10,9.058333333333334,120
easy,11,10.081818181818182,110
easy,12,11.340425531914894,47
medium,3,2.865546218487395,119
medium,4,3.722689075630252,119
medium,5,4.533333333333333,120
medium,6,5.558333333333334,120
medium,7,6.325,120
medium,8,7.441666666666666,120
medium,9,8.403361344537815,119
medium,10,8.970588235294118,68
medium,11,10.45945945945946,37
hard,3,2.914285714285714,35
hard,4,3.808219178082192,73
hard,5,4.530612244897959,98
hard,6,5.384615384615385,78
hard,7,6.491525423728813,59
hard,8,7.163265306122449,49
hard,9,8.333333333333334,36
