difficulty,length,k,n,mean_nldd,se_nldd
easy,3,2,120,-6.934772892233632,18.477469754238616
easy,3,3,120,476.6167245649334,201.47120832265736
easy,4,2,120,-3.2161288319725156,6.220112973932998
easy,4,3,120,-10.87544140450813,9.715478933880231
easy,4,4,120,300.64118767269696,45.489928060170115
easy,5,2,119,0.31428880517809515,8.303473168386327
easy,5,3,119,9.980001554551988,13.372604913478396
easy,5,4,119,-14.055069995012982,14.902964265914353
easy,5,5,119,641.4762704966807,262.7230147093654
easy,6,2,120,-3.847332199124216,9.49292723473586
easy,6,3,120,-5.647498751727501,10.928754943646204
easy,6,4,120,-38.15518936192923,27.54399844614359
easy,6,5,120,10.208442081213821,33.622099997104534
easy,6,6,120,720.5109080744002,416.16727150176536
easy,7,2,120,18.81113214419339,7.764590511746204
easy,7,3,120,1.4181539935442307,14.687963607339409
easy,7,4,120,-3.605222317151767,10.384258462105622
easy,7,5,120,-2.9313236243686873,7.082713827165652
easy,7,6,120,23.214321035283763,15.84879832600543
easy,7,7,120,498.96952371600844,193.72806491973907
easy,8,2,119,7.98747062716473,4.349178444860943
easy,8,3,119,14.71166116446935,6.378697702836345
easy,8,4,119,10.534685444780601,6.998684325087537
easy,8,5,119,25.065401074663463,17.776339364086976
easy,8,6,119,12.557034311891165,8.757438249760888
easy,8,7,119,47.68123144838503,14.891239986383644
easy,8,8,119,377.70106322768606,84.83285648416724
easy,9,2,120,15.583726680706565,11.474897889002992
easy,9,3,120,-0.22018213356568528,6.098489798387268
easy,9,4,120,19.37313526363875,16.579960113934792
easy,9,5,120,16.397374266673523,17.283568190441752
easy,9,6,120,19.111249765448694,14.015320984538791
easy,9,7,120,-5.607737087755214,6.586732785965299
easy,9,8,120,94.2504901786906,49.63349614939944
easy,9,9,120,411.13673403063984,161.68388564194868
easy,10,2,120,20.014755580172782,12.663583178996104
easy,10,3,120,1.918293332679239,4.719352095456336
easy,10,4,120,-8.939099328121618,8.803340036155598
easy,10,5,120,-8.89733594157166,7.223878365616016
easy,10,6,120,-3.769606694773454,5.589833718299024
easy,10,7,120,6.702089354507337,5.769951618463378
easy,10,8,120,-11.555004296005084,8.440420184025117
easy,10,9,120,70.79398172991534,24.265205838106535
easy,10,10,120,399.98045621264913,149.55607040946722
easy,11,2,110,-4.400746712789347,6.001490139536812
easy,11,3,110,-3.8530894704511764,4.8428562883859465
easy,11,4,110,-2.289299859032599,6.845466922711619
easy,11,5,110,-8.830473384841023,9.19226604268674
easy,11,6,110,-1.002816286026748,5.9739711713198504
easy,11,7,110,7.2497843868294805,8.339149386120736
easy,11,8,110,3.7323901067421352,11.884711893466587
easy,11,9,110,-14.727793238587914,13.34720948026359
easy,11,10,110,102.04175489073594,26.759448204458543
easy,11,11,110,646.122071795345,173.3063590859035
easy,12,2,47,15.21571232475934,17.2095018055952
easy,12,3,47,-39.13324442841938,30.44875603114817
easy,12,4,47,10.142098392045916,17.57641189556166
easy,12,5,47,17.45412739436621,24.62517383173192
easy,12,6,47,15.267158596112063,14.392465918195796
easy,12,7,47,15.280830369693843,26.446631915800474
easy,12,8,47,-6.911476544647607,13.036281188852714
easy,12,9,47,19.573696680664938,18.879709678080292
easy,12,10,47,-58.65718943596957,38.58313306375825
easy,12,11,47,161.30932013733695,151.53464044506157
easy,12,12,47,855.9358321313658,423.53784081015834
medium,3,2,119,10.51428903651613,11.794254065622063
medium,3,3,119,368.4917351773978,120.47492908262541
medium,4,2,119,24.971727990687008,26.340213465833404
medium,4,3,119,-3.3007684174665086,8.819032086129813
medium,4,4,119,478.0449142964271,240.31241485479788
medium,5,2,120,5.885511873859262,13.184423539805069
medium,5,3,120,-8.82545661120355,5.230927055102342
medium,5,4,120,-21.721009597773634,13.738246134500448
medium,5,5,120,307.8360730995872,72.5506688582584
