difficulty,length,step_index,n,mean_tas,se_tas
easy,3,1,120,1.0,0.0
easy,3,2,120,0.6988097948269015,0.0069528406615831165
easy,3,3,120,0.5772310399174911,0.0061178715612332235
easy,4,1,120,1.0,0.0
easy,4,2,120,0.679875854193914,0.007135871984300895
easy,4,3,120,0.5530204744246853,0.006089000253329705
easy,4,4,120,0.49652989416873117,0.005326724423387413
easy,5,1,120,1.0,0.0
easy,5,2,120,0.6954425194300834,0.007151285649513401
easy,5,3,120,0.553627200651226,0.005846010630276936
easy,5,4,120,0.48762914172769084,0.005410036986419414
easy,5,5,120,0.4418749003299707,0.005172929901819888
easy,6,1,120,1.0,0.0
easy,6,2,120,0.6751429136782517,0.008492374364075456
easy,6,3,120,0.535302530398636,0.0063162022403250445
easy,6,4,120,0.4634005230912928,0.005792883852233018
easy,6,5,120,0.41394665471740216,0.005416373081001598
easy,6,6,120,0.38475572431506205,0.004939644834039865
easy,7,1,120,1.0,0.0
easy,7,2,120,0.6758532333011339,0.009112224338387733
easy,7,3,120,0.5333919381282665,0.006491617826334637
easy,7,4,120,0.46343793859034454,0.005417363970878991
easy,7,5,120,0.4133510182047128,0.005293145958126824
easy,7,6,120,0.37492127682718207,0.005093717409825427
easy,7,7,120,0.35005710658369465,0.004924696861172189
easy,8,1,120,1.0,0.0
easy,8,2,120,0.6490419172917303,0.009168074173062223
easy,8,3,120,0.5207529445810134,0.006586487376633284
easy,8,4,120,0.45496184022440916,0.005631300507509937
easy,8,5,120,0.4068068889709671,0.005036349007268861
easy,8,6,120,0.367061376976081,0.004987817367306847
easy,8,7,120,0.34253493171751404,0.004626349833786903
easy,8,8,120,0.31936108784478484,0.004292098544118579
easy,9,1,120,1.0,0.0
easy,9,2,120,0.6504973971301835,0.00870282001793208
easy,9,3,120,0.5277181625173797,0.006098898776084009
easy,9,4,120,0.4581353061792312,0.005295245229596934
easy,9,5,120,0.4081810002755595,0.004925665018490895
easy,9,6,120,0.36644087233383144,0.004672215645395515
easy,9,7,120,0.33953835871361293,0.00449233385525901
easy,9,8,120,0.31373284155721665,0.004206182292275333
easy,9,9,120,0.2914888263861139,0.0038518924054695776
easy,10,1,120,1.0,0.0
easy,10,2,120,0.6576556117450993,0.008807635018971393
easy,10,3,120,0.5253044237652711,0.006600202497753591
easy,10,4,120,0.45960594528559745,0.005976106675431276
easy,10,5,120,0.4067990385619922,0.005963218392305649
easy,10,6,120,0.36774315462376495,0.005479719309340388
easy,10,7,120,0.33349791762804587,0.005289979913728218
easy,10,8,120,0.30819134767959505,0.004884625918571539
easy,10,9,120,0.28371581452930206,0.0045847531271606765
easy,10,10,120,0.2652531182813314,0.0044031667253971365
easy,11,1,110,1.0,0.0
easy,11,2,110,0.6753579126138901,0.008871295854576666
easy,11,3,110,0.5383765095150791,0.0068365455739968235
easy,11,4,110,0.4662621898359079,0.0064117370283016135
easy,11,5,110,0.4112324710178276,0.0060246762926422955
easy,11,6,110,0.3731332675676297,0.00555553954820117
easy,11,7,110,0.3387447715493709,0.005599508801759707
easy,11,8,110,0.31199718200424,0.005069035791674998
easy,11,9,110,0.2877209992579397,0.004962778544570714
easy,11,10,110,0.2640255347768638,0.004593260087483501
easy,11,11,110,0.24700535791902492,0.004217770532778844
easy,12,1,47,1.0,0.0
easy,12,2,47,0.6624404110263705,0.015221862877422918
easy,12,3,47,0.5333151735241549,0.012561627480150392
easy,12,4,47,0.4734134806046778,0.010150342853367446
easy,12,5,47,0.421766032038425,0.009451153875994584
easy,12,6,47,0.37966195298908967,0.00758951453787836
easy,12,7,47,0.3443484181656821,0.007470506065634891
easy,12,8,47,0.31779815677993095,0.006688287171054806
easy,12,9,47,0.2900733305449681,0.006191209809221702
easy,12,10,47,0.26743314515043554,0.005901321361793829
easy,12,11,47,0.24365412435793127,0.005370953989834246
easy,12,12,47,0.23079135943531123,0.004920836810565077
medium,3,1,120,1.0,0.0
medium,3,2,120,0.7025173586641444,0.006767735556313388
medium,3,3,120,0.5915329933127578,0.005023598771983383
medium,4,1,120,1.0,0.0
medium,4,2,120,0.6981816046691038,0.007740874418733989
medium,4,3,120,0.5681363151646943,0.006362233530725059
medium,4,4,120,0.5107995218899658,0.005663502141098897
medium,5,1,120,1.0,0.0
medium,5,2,120,0.6906136954559285,0.007651175622080258
medium,5,3,120,0.5574383002278174,0.006675120596690681
medium,5,4,120,0.4878504603961011,0.005917138966659456
medium,5,5,120,0.44657887953573216,0.005694028570609906
medium,6,1,120,1.0,0.0
medium,6,2,120,0.6743442065790805,0.0076049377305069665
medium,6,3,120,0.5447504701138273,0.006340314220287332
medium,6,4,120,0.4773805627294523,0.006230418958258877
