actual_num_steps,trace_count,correct_count,eligible_correct_count,status,selection_mode,selected_trace_count,drop_reason
1,773,574,0,dropped,,0,below_min_nldd_length
2,1449,1378,0,dropped,,0,below_min_nldd_length
3,1945,1895,1895,kept,sampled_to_target,120,
4,1632,1608,1608,kept,sampled_to_target,120,
5,1147,1121,1121,kept,sampled_to_target,120,
6,885,864,864,kept,sampled_to_target,120,
7,770,752,752,kept,sampled_to_target,120,
8,726,705,705,kept,sampled_to_target,120,
9,590,581,581,kept,sampled_to_target,120,
10,441,426,426,kept,sampled_to_target,120,
11,379,365,365,kept,sampled_to_target,120,
12,547,509,509,kept,sampled_to_target,120,
13,124,116,116,kept,all_available,116,
14,93,88,88,kept,all_available,88,
15,85,81,81,kept,all_available,81,
16,57,56,56,kept,all_available,56,
17,35,35,35,kept,all_available,35,
18,33,32,32,kept,all_available,32,
19,11,8,8,dropped,,0,below_min_cell_size
20,10,9,9,dropped,,0,below_min_cell_size
21,7,6,6,dropped,,0,below_min_cell_size
22,7,6,6,dropped,,0,below_min_cell_size
23,5,5,5,dropped,,0,below_min_cell_size
24,4,3,3,dropped,,0,below_min_cell_size
25,2,1,1,dropped,,0,below_min_cell_size
26,3,3,3,dropped,,0,below_min_cell_size
27,1,0,0,dropped,,0,below_min_cell_size
28,2,1,1,dropped,,0,below_min_cell_size
43,1,0,0,dropped,,0,below_min_cell_size
