actual_num_steps,trace_count,correct_count,accuracy,accuracy_se,nldd_length_eligible
1,773,574,0.742561,0.015726,false
2,1449,1378,0.951001,0.005671,false
3,1945,1895,0.974293,0.003588,true
4,1632,1608,0.985294,0.002980,true
5,1147,1121,0.977332,0.004395,true
6,885,864,0.976271,0.005116,true
7,770,752,0.976623,0.005445,true
8,726,705,0.971074,0.006220,true
9,590,581,0.984746,0.005046,true
10,441,426,0.965986,0.008632,true
11,379,365,0.963061,0.009688,true
12,547,509,0.930530,0.010871,true
13,124,116,0.935484,0.022062,true
14,93,88,0.946237,0.023388,true
15,85,81,0.952941,0.022969,true
16,57,56,0.982456,0.017389,true
17,35,35,1.000000,0.000000,true
18,33,32,0.969697,0.029840,true
19,11,8,0.727273,0.134282,true
20,10,9,0.900000,0.094868,true
21,7,6,0.857143,0.132260,true
22,7,6,0.857143,0.132260,true
23,5,5,1.000000,0.000000,true
24,4,3,0.750000,0.216506,true
25,2,1,0.500000,0.353553,true
26,3,3,1.000000,0.000000,true
27,1,0,0.000000,0.000000,true
28,2,1,0.500000,0.353553,true
43,1,0,0.000000,0.000000,true
