actual_num_steps,trace_count,correct_count,accuracy,accuracy_se,nldd_length_eligible
1,135,16,0.118519,0.027818,false
2,156,24,0.153846,0.028887,false
3,277,53,0.191336,0.023634,true
4,248,41,0.165323,0.023588,true
5,236,47,0.199153,0.025996,true
6,227,38,0.167401,0.024779,true
7,154,41,0.266234,0.035616,true
8,140,32,0.228571,0.035489,true
9,130,36,0.276923,0.039246,true
10,95,19,0.200000,0.041039,true
11,87,29,0.333333,0.050540,true
12,174,59,0.339080,0.035888,true
13,58,17,0.293103,0.059769,true
14,53,18,0.339623,0.065051,true
15,31,10,0.322581,0.083959,true
16,29,11,0.379310,0.090102,true
17,23,4,0.173913,0.079034,true
18,20,5,0.250000,0.096825,true
19,12,3,0.250000,0.125000,true
20,13,4,0.307692,0.128008,true
21,3,1,0.333333,0.272166,true
22,8,3,0.375000,0.171163,true
23,2,0,0.000000,0.000000,true
24,5,0,0.000000,0.000000,true
25,10,2,0.200000,0.126491,true
26,1,1,1.000000,0.000000,true
27,2,0,0.000000,0.000000,true
28,2,0,0.000000,0.000000,true
29,1,0,0.000000,0.000000,true
30,3,0,0.000000,0.000000,true
31,1,0,0.000000,0.000000,true
32,1,0,0.000000,0.000000,true
33,1,0,0.000000,0.000000,true
34,1,1,1.000000,0.000000,true
37,1,0,0.000000,0.000000,true
63,1,0,0.000000,0.000000,true
