actual_num_steps,trace_count,correct_count,eligible_correct_count,status,selection_mode,selected_trace_count,drop_reason
1,136,57,0,dropped,,0,below_min_nldd_length
2,209,122,0,dropped,,0,below_min_nldd_length
3,322,205,205,kept,sampled_to_target,120,
4,293,212,212,kept,sampled_to_target,120,
5,288,204,204,kept,sampled_to_target,120,
6,237,162,162,kept,sampled_to_target,120,
7,180,135,135,kept,sampled_to_target,120,
8,159,118,118,kept,all_available,118,
9,148,102,102,kept,all_available,102,
10,122,89,89,kept,all_available,89,
11,103,84,84,kept,all_available,84,
12,187,114,114,kept,all_available,114,
13,54,33,33,kept,all_available,33,
14,61,53,53,kept,all_available,53,
15,42,26,26,dropped,,0,below_min_cell_size
16,26,18,18,dropped,,0,below_min_cell_size
17,15,10,10,dropped,,0,below_min_cell_size
18,20,14,14,dropped,,0,below_min_cell_size
19,12,9,9,dropped,,0,below_min_cell_size
20,11,6,6,dropped,,0,below_min_cell_size
21,9,8,8,dropped,,0,below_min_cell_size
22,9,5,5,dropped,,0,below_min_cell_size
23,4,1,1,dropped,,0,below_min_cell_size
24,4,2,2,dropped,,0,below_min_cell_size
25,5,1,1,dropped,,0,below_min_cell_size
26,2,1,1,dropped,,0,below_min_cell_size
27,1,0,0,dropped,,0,below_min_cell_size
28,4,3,3,dropped,,0,below_min_cell_size
29,1,0,0,dropped,,0,below_min_cell_size
31,1,0,0,dropped,,0,below_min_cell_size
32,1,0,0,dropped,,0,below_min_cell_size
66,1,0,0,dropped,,0,below_min_cell_size
