actual_num_steps,trace_count,correct_count,accuracy,accuracy_se,nldd_length_eligible
1,136,57,0.419118,0.042310,false
2,209,122,0.583732,0.034097,false
3,322,205,0.636646,0.026803,true
4,293,212,0.723549,0.026128,true
5,288,204,0.708333,0.026783,true
6,237,162,0.683544,0.030211,true
7,180,135,0.750000,0.032275,true
8,159,118,0.742138,0.034693,true
9,148,102,0.689189,0.038044,true
10,122,89,0.729508,0.040217,true
11,103,84,0.815534,0.038217,true
12,187,114,0.609626,0.035674,true
13,54,33,0.611111,0.066340,true
14,61,53,0.868852,0.043220,true
15,42,26,0.619048,0.074933,true
16,26,18,0.692308,0.090515,true
17,15,10,0.666667,0.121716,true
18,20,14,0.700000,0.102470,true
19,12,9,0.750000,0.125000,true
20,11,6,0.545455,0.150131,true
21,9,8,0.888889,0.104757,true
22,9,5,0.555556,0.165635,true
23,4,1,0.250000,0.216506,true
24,4,2,0.500000,0.250000,true
25,5,1,0.200000,0.178885,true
26,2,1,0.500000,0.353553,true
27,1,0,0.000000,0.000000,true
28,4,3,0.750000,0.216506,true
29,1,0,0.000000,0.000000,true
31,1,0,0.000000,0.000000,true
32,1,0,0.000000,0.000000,true
66,1,0,0.000000,0.000000,true
