timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/04/12 14:11:30.880, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB
2026/04/12 14:11:35.880, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB
2026/04/12 14:11:40.881, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB
2026/04/12 14:11:45.881, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB
2026/04/12 14:11:50.881, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB
2026/04/12 14:11:55.882, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB
2026/04/12 14:12:00.882, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB
2026/04/12 14:12:05.883, 0, NVIDIA L40S, 0 %, 0 %, 0 MiB, 46068 MiB
2026/04/12 14:12:10.883, 0, NVIDIA L40S, 0 %, 0 %, 3 MiB, 46068 MiB
2026/04/12 14:12:15.884, 0, NVIDIA L40S, 0 %, 0 %, 3 MiB, 46068 MiB
2026/04/12 14:12:20.884, 0, NVIDIA L40S, 0 %, 0 %, 3 MiB, 46068 MiB
2026/04/12 14:12:25.885, 0, NVIDIA L40S, 0 %, 0 %, 3 MiB, 46068 MiB
2026/04/12 14:12:30.885, 0, NVIDIA L40S, 0 %, 0 %, 3 MiB, 46068 MiB
2026/04/12 14:12:35.886, 0, NVIDIA L40S, 0 %, 0 %, 3 MiB, 46068 MiB
2026/04/12 14:12:40.886, 0, NVIDIA L40S, 0 %, 0 %, 3 MiB, 46068 MiB
2026/04/12 14:12:45.887, 0, NVIDIA L40S, 0 %, 0 %, 16011 MiB, 46068 MiB
2026/04/12 14:12:50.887, 0, NVIDIA L40S, 100 %, 50 %, 17285 MiB, 46068 MiB
2026/04/12 14:12:55.888, 0, NVIDIA L40S, 98 %, 100 %, 17723 MiB, 46068 MiB
2026/04/12 14:13:00.888, 0, NVIDIA L40S, 88 %, 66 %, 18257 MiB, 46068 MiB
2026/04/12 14:13:05.889, 0, NVIDIA L40S, 98 %, 100 %, 18257 MiB, 46068 MiB
2026/04/12 14:13:10.889, 0, NVIDIA L40S, 97 %, 99 %, 18257 MiB, 46068 MiB
2026/04/12 14:13:15.889, 0, NVIDIA L40S, 100 %, 61 %, 18913 MiB, 46068 MiB
2026/04/12 14:13:20.890, 0, NVIDIA L40S, 98 %, 100 %, 18913 MiB, 46068 MiB
2026/04/12 14:13:25.890, 0, NVIDIA L40S, 85 %, 56 %, 19687 MiB, 46068 MiB
2026/04/12 14:13:30.891, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:13:35.891, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:13:40.891, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:13:45.892, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:13:50.892, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:13:55.893, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:14:00.893, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:14:05.894, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:14:10.895, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:14:15.895, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:14:20.896, 0, NVIDIA L40S, 97 %, 98 %, 19687 MiB, 46068 MiB
2026/04/12 14:14:25.896, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:14:30.896, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:14:35.897, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:14:40.897, 0, NVIDIA L40S, 88 %, 82 %, 19687 MiB, 46068 MiB
2026/04/12 14:14:45.898, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:14:50.898, 0, NVIDIA L40S, 100 %, 53 %, 19687 MiB, 46068 MiB
2026/04/12 14:14:55.899, 0, NVIDIA L40S, 100 %, 52 %, 19687 MiB, 46068 MiB
2026/04/12 14:15:00.899, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:15:05.899, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:15:10.900, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:15:15.900, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:15:20.901, 0, NVIDIA L40S, 100 %, 60 %, 19687 MiB, 46068 MiB
2026/04/12 14:15:25.901, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:15:30.901, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:15:35.902, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:15:40.902, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:15:45.903, 0, NVIDIA L40S, 100 %, 56 %, 19687 MiB, 46068 MiB
2026/04/12 14:15:50.904, 0, NVIDIA L40S, 92 %, 93 %, 19687 MiB, 46068 MiB
2026/04/12 14:15:55.904, 0, NVIDIA L40S, 98 %, 86 %, 19687 MiB, 46068 MiB
2026/04/12 14:16:00.905, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:16:05.905, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:16:10.906, 0, NVIDIA L40S, 98 %, 100 %, 19687 MiB, 46068 MiB
2026/04/12 14:16:15.906, 0, NVIDIA L40S, 97 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:16:20.906, 0, NVIDIA L40S, 97 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:16:25.907, 0, NVIDIA L40S, 97 %, 99 %, 19687 MiB, 46068 MiB
2026/04/12 14:16:30.907, 0, NVIDIA L40S, 98 %, 99 %, 19687 MiB, 46068 MiB
