bucket_label,n,mean,se
1,2911,0.606664,0.009054
2,2497,0.800561,0.007996
3,2827,0.835868,0.006966
4,2262,0.846154,0.007586
5,1707,0.815466,0.009389
6,1377,0.782135,0.011124
7,1108,0.839350,0.011032
8,1027,0.832522,0.011652
9,876,0.825342,0.012828
10,658,0.811550,0.015246
11,572,0.835664,0.015495
12,910,0.749451,0.014365
13,236,0.703390,0.029733
14,207,0.768116,0.029333
15,158,0.740506,0.034874
16,112,0.758929,0.040417
17,73,0.671233,0.054982
18,73,0.698630,0.053705
19,35,0.571429,0.083649
20,34,0.558824,0.085154
21,19,0.789474,0.093529
22,24,0.583333,0.100635
23,11,0.545455,0.150131
24,13,0.384615,0.134932
25,19,0.210526,0.093529
26,6,0.833333,0.152145
30,33,0.151515,0.062416
